year,value
1960,15822585034
1961,17212686615
1962,18667251380
1963,20204870630
1964,22532416750
1965,24795499686
1966,26971486546
1967,29275995675
1968,31066819929
1969,33738102482
1970,38092452061
1971,41566412923
1972,48954145809
1973,59404966684
1974,66013338965
1975,82885397621
1976,89362071673
1977,94468740851
1978,104442351223
1979,123386410161
1980,142092068281
1981,129686938223
1982,114380557731
1983,105014356667
1984,109201362581
1985,114123537582
1986,150498057724
1987,183009638351
1988,206986674501
1989,217948315625
1990,261846194499
1991,274229034312
1992,284321115595
1993,212953336588
1994,229033566615
1995,267305875261
1996,291743811512
1997,268146144678
1998,270809066781
1999,274072182417
2000,262835454367
2001,242395852494
2002,266849061836
2003,334337212322
2004,385118044877
2005,392218088879
2006,423093437424
2007,491252589217
2008,517706149201
2009,436537014294
2010,495812558843
2011,574094112973
2012,552483727283
2013,586841821797
2014,581964017237
2015,505103781350
2016,515654671470
2017,541018749769
2018,555455371487
2019,533879529188
2020,541220059459
