year,value
1960,2114
1961,2289
1962,2469
1963,2657
1964,2941
1965,3206
1966,3454
1967,3721
1968,3926
1969,4234
1970,4736
1971,5133
1972,6027
1973,7301
1974,8090
1975,10117
1976,10868
1977,11449
1978,12621
1979,14877
1980,17098
1981,15586
1982,13739
1983,12608
1984,13099
1985,13667
1986,17981
1987,21793
1988,24535
1989,25662
1990,30594
1991,31823
1992,32801
1993,24425
1994,26084
1995,30283
1996,32999
1997,30312
1998,30597
1999,30941
2000,29625
2001,27248
2002,29899
2003,37322
2004,42822
2005,43437
2006,46594
2007,53700
2008,56153
2009,46947
2010,52869
2011,60756
2012,58038
2013,61127
2014,60020
2015,51545
2016,51965
2017,53792
2018,54589
2019,51939
2020,52274
