year,value
1960,9602006
1961,9586651
1962,9624660
1963,9670685
1964,9727804
1965,9779358
1966,9821040
1967,9852899
1968,9876346
1969,9896580
1970,9858071
1971,9826815
1972,9867632
1973,9922266
1974,9988459
1975,10058620
1976,10125939
1977,10186755
1978,10242098
1979,10292341
1980,10304193
1981,10300591
1982,10314826
1983,10323856
1984,10330213
1985,10337118
1986,10342227
1987,10347318
1988,10355276
1989,10361068
1990,10333355
1991,10308578
1992,10319123
1993,10329855
1994,10333587
1995,10327253
1996,10315241
1997,10304131
1998,10294373
1999,10283860
2000,10255063
2001,10216605
2002,10196916
2003,10193998
2004,10197101
2005,10211216
2006,10238905
2007,10298828
2008,10384603
2009,10443936
2010,10474410
2011,10496088
2012,10510785
2013,10514272
2014,10525347
2015,10546059
2016,10566332
2017,10594438
2018,10629928
2019,10671870
2020,10698896
