Year,Country,EFW,Rank
1965,Albania,3.154986299165356,118
1965,Algeria,3.6208286900400632,112
1965,Angola,3.98297084986511,105
1965,Argentina,5.675413169867681,52
1965,Australia,7.387365368873274,9
1965,Austria,6.626116013195629,20
1965,Belgium,7.279489408883004,11
1965,Benin,3.884033860657735,107
1965,Bolivia,6.2476125079151075,30
1965,Botswana,4.336817161758193,92
1965,Brazil,5.486512199778488,59
1965,Bulgaria,3.3095142717576422,115
1965,Burkina Faso,5.276690750484416,67
1965,Burundi,4.485272226618234,89
1965,Cameroon,5.917432967630137,41
1965,Canada,7.538032947480765,4
1965,Central Afr. Rep.,4.011935792412551,104
1965,Chad,4.537429570462942,87
1965,Chile,5.891740914440448,42
1965,China,3.6725991665474953,110
1965,Colombia,6.148120513517935,33
1965,"Congo, Dem. R.",4.582738203559482,86
1965,"Congo, Rep. Of",4.07416681564115,101
1965,Costa Rica,6.647078413148689,19
1965,Cote d'Ivoire,5.003455817938397,75
1965,Cyprus,5.679930574608944,51
1965,Czech Rep.,3.236957703868774,116
1965,Denmark,6.812561524559589,15
1965,Dominican Rep.,5.395537246079138,60
1965,Ecuador,6.571323039228927,23
1965,Egypt,4.524623589632499,88
1965,El Salvador,5.301689661389224,65
1965,Ethiopia,4.078088575788609,100
1965,Finland,7.006484070408325,12
1965,France,6.101786613878777,34
1965,Gabon,5.02893310244769,74
1965,"Gambia, The",5.58263320216405,57
1965,Germany,7.473843886052348,6
1965,Ghana,4.121784500652828,95
1965,Greece,5.9627052113334695,39
1965,Guatemala,5.643582461995498,55
1965,Guinea,3.686122725480275,109
1965,Guinea-Bissau,3.699203566803611,108
1965,Guyana,4.98787805855436,77
1965,Haiti,5.652202353378428,53
1965,Honduras,6.1759524564573525,32
1965,Hong Kong,7.750930737906872,1
1965,Hungary,3.3608349753872893,114
1965,Iceland,6.825240289059334,13
1965,India,5.4887462382538965,58
1965,Indonesia,4.664966022582178,85
1965,Iran,5.366569026049025,61
1965,Ireland,6.016151860629751,36
1965,Israel,5.330972437658536,64
1965,Italy,6.344320239673706,27
1965,Jamaica,7.347481944095005,10
1965,Japan,6.549279930330709,24
1965,Jordan,4.935767096109697,78
1965,Kenya,5.6518742733312575,54
1965,"Korea, South",5.249042674069898,70
1965,Lebanon,6.260151037512747,29
1965,Libya,4.792576410829751,81
1965,Luxembourg,7.744432921103151,2
1965,Madagascar,5.266579531024933,68
1965,Malawi,4.2969491414905,93
1965,Malaysia,6.041632038338534,35
1965,Mali,4.078795977695247,99
1965,Malta,5.766643384623885,46
1965,Mauritania,3.632941582023679,111
1965,Mauritius,7.395660481513243,8
1965,Mexico,6.304567435887009,28
1965,Morocco,4.995635574559381,76
1965,Mozambique,4.121170545540664,96
1965,Myanmar,3.9373557845689104,106
1965,Nepal,5.697069475589706,50
1965,Netherlands,6.803981125510356,16
1965,New Zealand,5.830193425705473,45
1965,Nicaragua,4.680771446022225,84
1965,Niger,5.072421554593705,73
1965,Nigeria,4.783801974683542,82
1965,Norway,6.597214396865358,21
1965,Pakistan,5.264718062904468,69
1965,Panama,6.819695823749823,14
1965,Pap. New Guinea,4.836732233076759,79
1965,Paraguay,5.7182547485246555,49
1965,Peru,6.687058488257399,18
1965,Philippines,6.210744590174279,31
1965,Poland,4.384581395074819,91
1965,Portugal,6.587458859650434,22
1965,Romania,3.469873619331696,113
1965,Russia,3.185179263502759,117
1965,Rwanda,4.063821354301476,102
1965,Saudi Arabia,5.634220907173975,56
1965,Senegal,4.10660080067144,97
1965,Sierra Leone,5.293559782152108,66
1965,Singapore,7.613497170739796,3
1965,South Africa,5.16569706017376,71
1965,Spain,5.887670228560678,43
1965,Sri Lanka,5.105471832522932,72
1965,Suriname,5.74656116570533,48
1965,Sweden,6.7627891415223615,17
1965,Switzerland,7.450138932376339,7
1965,Syria,5.340932341715272,63
