"GDP, current prices (Purchasing power parity; billions of international dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.742,25.206,26.058,30.054,32.642,37.999,40.227,48.807,53.568,58.216,67.583,72.639,75.898,77.358,79.784,83.362,89.369,97.801,100.898,85.768,86.135,91.347,95.253,no data,no data,no data,no data,no data,no data
Albania,5.7,6.595,7.206,7.57,8,8.13,8.758,8.903,9.088,10.37,9.682,7.207,6.84,7.675,8.576,9.535,10.593,9.598,10.563,12.093,13.226,14.646,15.548,16.732,18.129,19.731,21.54,23.447,25.692,26.717,28.044,29.351,30.322,31.147,32.252,33.276,34.905,36.697,39.26,42.22,41.183,45.984,51.632,55.692,59.384,62.871,66.287,69.789,73.392,77.301,81.504
Algeria,77.817,87.735,99.118,108.562,118.779,129.397,131.738,134.057,136.148,148.278,155.058,158.379,164.581,164.939,166.945,177.003,187.093,192.413,204.499,214.029,227.195,239.279,256.12,278.153,298.485,324.469,344.175,364.458,380.766,387.712,411.26,432.338,450.957,470.557,498.381,519.103,544.473,562.537,583.472,601.471,558.3,648.896,720.069,777.328,826.1,874.599,915.791,956.753,998.917,1041.763,1087.664
Andorra,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.198,2.43,2.58,2.859,3.175,3.451,3.729,3.889,3.744,3.567,3.539,3.612,3.496,3.43,3.577,3.662,3.834,3.916,4.152,4.395,4.031,4.65,5.457,5.805,6.149,6.45,6.671,6.885,7.102,7.334,7.584
Angola,12.494,13.074,13.882,15.031,16.508,17.626,18.503,19.735,21.684,22.543,22.58,26.165,29.812,33.867,38.226,43.071,48.776,53.226,56.349,58.393,61.54,65.573,75.692,79.88,91.395,107.599,124.05,143.974,162.582,166.856,177.818,188.003,207.781,221.629,235.997,239.998,238.16,242.085,259.089,277.552,261.836,306.036,341.636,358.752,383.923,401.48,417.193,434.82,454.522,476.22,500.113
Antigua and Barbuda,0.234,0.266,0.283,0.31,0.353,0.392,0.446,0.488,0.531,0.581,0.621,0.656,0.678,0.731,0.797,0.778,0.845,0.906,0.96,1.009,1.096,1.07,1.098,1.187,1.29,1.416,1.645,1.847,1.883,1.668,1.556,1.557,1.639,1.657,1.723,1.764,1.854,1.938,2.23,2.426,2.055,2.378,2.779,2.951,3.135,3.291,3.433,3.579,3.727,3.887,4.058
Argentina,200.626,206.994,212.865,229.459,242.496,232.774,254.429,267.327,271.34,262.222,268.397,306.605,345.89,376.221,406.656,403.369,433.455,476.692,500.611,490.507,497.66,486.43,440.172,489.059,546.962,614.047,683.921,765.725,812.141,768.787,856.919,927.11,934.679,973.452,965.522,1001.097,989.586,1035.699,1090.043,1057.633,1011.999,1191.725,1353.34,1377.369,1392.607,1490.164,1577.488,1667.624,1759.886,1855.545,1950.978
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.177,5.434,5.85,6.462,6.968,7.318,7.939,8.323,8.986,10.07,11.735,13.647,15.465,18.152,21.182,24.747,26.976,23.302,24.104,25.757,28.109,29.563,31.162,32.475,32.848,35.949,38.233,44.366,43.553,47.165,56.869,63.896,69.313,74.407,79.456,85.232,90.774,96.52,102.755
Aruba,no data,no data,no data,no data,no data,no data,0.659,0.784,0.962,1.121,1.209,1.35,1.462,1.606,1.775,1.857,1.915,2.085,2.15,2.211,2.434,2.593,2.609,2.69,2.963,3.045,3.174,3.361,3.488,3.1,3.052,3.22,3.246,3.513,3.625,3.79,3.873,4.08,4.279,4.21,3.114,3.747,4.22,4.714,5.159,5.393,5.608,5.816,5.997,6.189,6.39
Australia,152.121,173.386,184.215,190.522,209.926,228.381,238.682,256.564,276.909,301.101,317.036,324.541,340.538,362.279,388.051,407.879,431.847,459.997,486.897,515.695,543.719,570.421,603.379,633.845,677.662,720.087,761.738,816.325,853.641,875.771,907.86,952.402,1006.892,1046.752,1092.401,1128.341,1169.751,1219.038,1288.246,1366.071,1379.066,1554.729,1734.118,1835.433,1900.24,1981.672,2060.651,2140.334,2223.479,2313.275,2410.832
Austria,91.96,100.56,108.811,116.243,120.838,127.456,133.065,138.654,144.923,156.46,169.369,181.124,189.13,194.633,203.564,213.377,222.495,231.188,241.952,254.607,268.679,278.347,286.868,295.871,311.621,328.85,350.074,373.133,385.848,374.305,385.707,405.19,415.327,421.337,431.916,441.606,455.241,473.924,500.696,535.947,521.842,569.376,642.061,659.459,669.148,687.271,704.969,727.972,749.452,770.134,790.338
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,28.42,22.373,18.356,16.299,17.018,18.849,20.206,22.827,24.798,27,30.008,33.724,37.836,49.324,68.37,87.778,99.105,108.95,115.787,118.295,123.152,132.566,138.608,141.405,138.375,141.07,151.91,167.158,153.048,203.884,228.681,240.355,256.35,270.503,282.237,294.005,306.101,319.128,333.172
