"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1082.924,1113.106,1106.324,1231.167,1282.947,1466.942,1522.173,1782.221,1900.285,1990.35,2218.278,2302.993,2319.876,2291.864,2303.472,2338.779,2436.006,2589.41,2588.961,2138.87,2111.149,2164.617,2196.131,no data,no data,no data,no data,no data,no data
Albania,2133.33,2419.326,2588.046,2661.915,2754.581,2742.1,2897.399,2887.207,2892.097,3212.528,2945.997,2206.122,2106.675,2378.104,2673.565,2990.969,3343.608,3048.712,3376.368,3890.101,4281.762,4785.971,5096.098,5504.57,5989.289,6551.924,7197.907,7894.69,8716.923,9126.171,9627.174,10103.056,10454.299,10758.458,11163.161,11551.34,12136.317,12770.998,13696.83,14792.265,14512.054,16354.589,18587.971,20252.264,21812.903,23327.052,24843.148,26419.725,28064.162,29857.436,31799.156
Algeria,4168.918,4558.601,4989.845,5291.558,5609.386,5828.68,5777.978,5728.951,5649.302,6003.176,6196.876,6176.318,6264.723,6132.925,6071.609,6308.019,6549.5,6624.642,6930.518,7142.635,7447.538,7730.163,8153.048,8723.621,9222.186,9875.784,10319.778,10764.31,11007.66,10993.299,11430.879,11774.869,12027.123,12287.039,12741.764,12989.586,13333.158,13483.308,13703.603,13851.117,12731.754,14556.823,15898.784,16908.206,17717.506,18509.449,19138.546,19757.499,20383.599,21005.836,21459.266
Andorra,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50351.539,51767.771,50118.602,49017.199,50682.41,51045.855,52438.82,52353.114,54508.563,56682.724,51671.809,58458.65,66879.173,68208.604,70603.633,72359.32,73123.689,73736.035,74314.514,74991.172,75766.69
Angola,1510.407,1538.971,1591.954,1679.796,1797.332,1703.032,1738.043,1807.637,1933.704,1956.704,1908.939,2139.614,2359.976,2597.482,2839.506,3095.937,3391.127,3579.153,3666.939,3679.306,3753.81,3870.505,4321.256,4407.323,4868.928,5531.821,6152.564,6885.535,7495.186,7413.311,7610.721,7749.77,8249.101,8476.286,8699.296,8532.432,8168.812,8013.784,8284.622,8578.72,7832.731,8869.641,9599.484,9779.475,10111.725,10216.557,10257.389,10329.262,10432.15,10560.546,10715.358
Antigua and Barbuda,3425.965,3923.903,4211.195,4678.132,5427.131,6129.285,7094.258,7888.664,8722.592,9628.656,10299.986,10791.964,10985.894,11578.315,12296.252,11690.677,12348.475,12884.226,13282.492,13632.775,14500.025,13914.917,14133.125,15142.275,16283.376,17699.93,20348.796,22600.724,22774.585,19941.911,18382.348,18190.986,18884.151,18813.548,19272.705,19431.59,20113.773,20709.393,23446.844,25149.742,20987.828,23934.393,27573.329,28879.81,30286.4,31380.292,32314.791,33258.646,34192.163,35197.874,36279.651
Argentina,7178.036,7275.713,7357.928,7820.674,8126.537,7669.67,8276.808,8598.493,8622.165,8230.443,8250.739,9299.5,10349.782,11092.266,11837.547,11598.017,12315.6,13388.597,13903.773,13475.988,13529.296,13091.494,11733.027,12914.25,14308.623,15911.198,17549.661,19456.172,20433.482,19155.297,21008.87,22469.14,22396.499,23065.982,22627.914,23210.094,22701.934,23514.667,24498.379,23535.013,22302.151,26015.237,29271.003,29522.706,29553.77,31311.011,32817.656,34349.342,35890.811,37467.011,39003.947
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1790.315,1612.564,1797.517,1990.008,2149.128,2261.959,2458.138,2584.024,2797.757,3147.206,3687.502,4312.126,4915.286,5804.883,6816.706,8016.393,8798.499,7672.552,7981.053,8517.264,9301.428,9808.952,10371.558,10852.489,11024.687,12108.27,12905.748,14980.811,14702.098,15884.438,19057.073,21061.964,22245.856,23954.238,25662.26,27621.116,29520.83,31503.743,33663.78
Aruba,no data,no data,no data,no data,no data,no data,8116.463,9231.869,10972.078,12572.217,13417.873,14829.301,15918.416,17396.733,18891.877,19280.046,19356.547,20874.956,21410.915,21798.587,23912.267,25454.456,25250.578,25636.734,27841.531,28406.814,29215.558,30882.147,32105.061,28396.721,27936.241,29831.019,30199.739,32786.708,33697.451,34960.277,35662.119,37504.91,39287.781,38615.64,28544.524,34320.139,38650.414,43173.766,47276.31,49451.388,51463.877,53391.016,55085.972,56907.57,58790.314
