Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,345.97748,270.60236,244.96669,206.35601,22.984644,20.136631,19.057076,16.247261,7.6969493,7.5010844,6.7594679,6.9044792,8.700291,9.1540829,8.4372661,7.9976602,7.3844129,6.1363465,7.3311473,11.135733,10.64268,8.2545202,no data
Albania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.629863,29.359587,34.69009,51.409342,57.010236,57.789526,63.376463,60.609729,64.097401,60.239905,57.472884,58.199553,56.690318,53.550124,55.140209,59.670183,57.710251,59.399813,62.119953,65.53,70.03,72.670075,72.380043,70.119933,67.610016,65.729866,74.299952,74.488915,64.461863,59.130149,59.22898
Algeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.911524,29.324952,25.347032,30.767822,29.966253,33.746532,39.905974,50.164181,64.8142,60.07198,51.228261,41.210765,41.005731,43.081174,43.594192,43.352417,55.777641,63.928478,76.909576,72.271582,63.617816,66.021301,64.61477,89.864538,90.290278,95.865609,90.675881,79.561035,79.890177,69.676279,53.405657,50.002857,47.312491,38.224215,32.689637,25.365524,22.47251,12.794482,7.637351,8.9224693,9.5133011,8.4781069,8.5831718,6.4775293,6.8527966,7.7311794,18.09443,24.015146,34.492665,40.881598,45.967375,55.144638,48.068308,47.712251,46.201837
Angola,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,138.11549,91.992365,73.462418,96.340929,104.82732,118.24254,100.22145,65.107033,50.75988,41.626647,29.886387,16.725864,18.804413,28.122021,48.448006,32.593691,26.317854,23.805354,29.473055,35.274186,50.38582,66.670005,60.492126,82.541362,101.37285,119.14542,74.292159,56.10816,71.385301,62.501396
Antigua and Barbuda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,94.127302,94.628919,90.778993,85.28749,84.541926,92.134671,85.543824,80.64704,94.56296,95.921277,96.424318,107.56606,114.5274,112.97916,107.65004,82.822841,79.121116,68.651595,66.838975,89.150541,79.39804,81.126679,76.92932,85.380164,91.886889,92.125441,83.060898,88.17587,84.332698,81.58816,100.46473,92.951307,82.028447,76.328978,67.057295
Argentina,20.5,17.4,18.7,21.4,23.9,24.1,22,19.7,17.2,10.2,8.4,8.7,25.1,21.589325,15.498725,14.669707,12.362078,10.055804,8.6722035,8.8538425,12.450865,14.021019,15.777066,11.069677,11.992125,31.178655,26.48624,23.159408,16.14351,11.439822,10.518021,24.445939,50.917283,59.229086,50.370023,62.640011,51.569572,68.35967,56.643502,109.04335,44.74283,32.934414,27.768231,26.892714,28.425983,30.74938,32.550753,31.675799,34.14688,38.916986,40.832839,48.006619,147.20255,125.16163,117.87785,80.281799,70.79269,62.132711,53.813852,55.39708,43.454315,38.934854,40.436048,43.49607,44.69685,52.562643,53.06018,57.027842,85.24631,89.839688,103.81581,81.042754,84.462988,155.41103,85.334396
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.791922,46.514592,45.200305,39.200378,39.597116,38.061116,38.247604,33.015776,26.445878,24.404917,18.725007,16.101734,16.145007,40.161251,39.66653,42.006034,41.225159,40.856315,43.689255,48.70168,56.748584,58.937705,55.651938,53.673146,67.361969,63.354417,49.246489,50.72313,50.297191
Australia,109.61978,86.944088,85.917823,79.727117,76.71401,74.851032,71.694251,67.606823,65.935701,62.280723,48.252915,49.29285,50.243852,47.50536,44.933803,43.66351,42.407879,40.464488,39.426069,36.737231,34.903217,32.234115,30.668695,27.31422,22.327773,23.596032,22.942664,23.598091,24.690183,22.848912,21.206088,19.099444,16.810382,20.962174,22.275257,23.99032,25.474819,25.209731,20.485733,15.990995,12.073383,11.909808,14.273516,17.689892,19.893749,22.115223,21.383818,20.513713,16.277831,15.4379,13.692619,11.980421,10.310543,8.9730677,8.0778888,7.3435526,6.5485373,6.067627,7.5991986,11.484176,14.23113,16.983877,19.234095,21.244425,24.592746,28.452028,31.62437,32.377927,32.915406,36.581446,43.628057,41.005104,35.675444,35.621767,36.787602
Austria,21.041934,14.518866,12.912385,15.797825,13.743311,11.441094,10.512523,7.9903378,10.97852,13.066517,13.201177,11.91275,11.544018,11.658107,11.606674,11.05271,10.505943,11.665564,12.50855,12.541045,12.057946,10.650033,9.9175573,9.8806665,9.4767786,14.595704,17.616872,19.592487,22.454026,23.855336,25.11888,26.676164,28.748382,32.870056,35.342722,37.518256,41.891919,45.622545,45.610666,45.694318,45.781247,46.47626,46.53738,50.319505,53.016424,55.552107,55.91767,57.12043,57.151826,58.096669,56.827277,55.345386,55.068709,55.034705,56.351976,56.004042,54.624538,52.222437,55.498752,58.934776,60.115504,59.440479,59.872504,60.382009,59.437454,58.205964,58.411874,57.512369,55.22863,52.758254,62.571864,62.418996,60.440655,59.776483,62.118998
