General government gross debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,346,270.6,245,206.4,23,20.1,19.1,16.2,7.7,7.5,6.8,6.9,8.7,9.2,8.4,8,7.4,6.1,7.3,11.2,10.8,8.4,8.8,no data,no data,no data,no data,no data,no data
Albania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,72.2,71.2,68.2,63.8,60.6,64.1,60.2,57.5,58.2,56.7,53.6,55.1,59.7,57.7,59.4,62.1,70.4,72,73.7,73.3,71.9,68.5,66.6,75.4,74.8,65.2,58,56,54.1,52.7,51.3,50,48.7,47.2
Algeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,86.1,69.3,76.8,106.3,95.9,90.7,79.6,79.9,69.7,53.4,50,47.3,38.2,32.7,25.4,22.5,12.8,7.6,8.9,9.5,8.5,8.6,6.5,6.9,7.7,18.1,24,34.5,40.9,46,55.1,48.1,47.7,48.1,54,62.2,68.3,73.6,77.2,81.1
Andorra,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.8,15.3,15.2,15.1,14.8,17.2,20.9,27.7,33.5,35,36.5,41.5,42.5,42,41,39.8,37.9,36.3,35.4,46.4,48.6,38.9,35.5,33.2,31.7,30.7,29.7,29.3,28.8,28.4
Angola,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,118.2,100.2,65.1,50.8,41.6,29.9,16.7,18.8,28.1,48.4,32.6,26.3,23.8,29.5,35.3,50.4,66.7,60.5,82.5,101.4,119.1,74.3,56.1,72.4,59.9,62.4,63.2,63.5,62.8,61.8,60.9
Antigua and Barbuda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,94.1,94.6,90.8,85.3,84.5,92.1,85.5,80.6,94.6,95.9,96.4,107.6,114.5,113,107.7,82.8,79.1,68.7,66.8,89.2,79.4,81.1,76.9,85.4,91.9,92.1,83.1,88.2,84.3,81.6,100.5,93,82,76.3,67.6,65.7,63.8,63.2,61,60,58.3
Argentina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25,26.9,28.4,30.7,32.6,31.7,34.1,38.9,40.8,48,147.2,125.2,117.9,80.3,70.8,62.1,53.8,55.4,43.5,38.9,40.4,43.5,44.7,52.6,53.1,57,85.2,89.8,103.8,81,84.3,154.6,84.7,78.8,73.6,68.9,65.5,61.6,58.3
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.8,46.5,45.2,39.2,39.6,38.1,38.2,33,26.4,24.4,18.7,16.1,16.1,40.2,39.7,42,41.2,41.6,43.6,48.3,56.5,58.1,56.1,54.2,67.3,63.6,49.3,50.4,50,53.4,54.1,53.7,53.9,53.9,53.1
Aruba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,55.1,54.8,51.1,41,39.3,38.6,44.3,47.1,40.8,42.5,45.1,45.5,44.6,40.3,48.8,54.7,59.3,65.5,70,77.7,74.2,75.4,75.8,73.3,72.1,117,110.7,97.8,82.5,70.2,67.1,63.9,60.6,57.7,54.8,52.1
