General Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.629863,29.359587,34.69009,51.409342,57.010236,57.789526,63.018746,59.899958,63.343117,59.536068,56.798357,57.518871,56.021438,52.920536,54.491346,58.964788,57.040754,58.713917,61.41363,69.563244,71.14565,72.84941,72.462094,71.04928,68.655032,66.575406,75.380942,74.794583,65.197886,58.364757,55.652641
Australia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.016497,16.406689,21.607126,27.631688,30.665034,31.709047,31.143021,29.345241,25.907213,23.698221,22.543955,19.495351,17.105665,15.010398,13.186322,11.907291,10.858112,9.9377855,9.6654472,11.741729,16.622245,20.349581,24.040466,27.521471,30.466475,34.036272,37.725806,40.620637,41.195415,41.758013,46.720395,57.091508,55.536795,50.221601,48.972781,49.828052
Austria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.649735,17.389201,16.681548,16.69436,16.821684,22.841119,26.188977,28.489775,32.150983,34.129521,35.591785,37.474346,39.710841,43.651391,46.006996,47.767071,51.950128,55.490768,57.680598,56.641837,56.239482,56.443053,56.336007,60.962443,64.071427,68.238169,68.180321,63.373173,69.196552,61.339556,66.108882,67.238356,67.44032,66.411818,65.912064,69.427592,68.176417,65.813112,69.52806,80.752328,83.65397,83.356075,82.935499,82.430835,85.20981,85.614769,83.419065,79.057183,74.586245,71.005856,83.183042,82.394523,78.343932,78.404244,81.205646
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.222745,8.1150967,12.274158,15.813183,20.29503,32.546849,36.805213,58.223333,36.946222,36.859473,38.790605,53.006888,53.48163,53.159846,47.515236,40.999215,47.493317,41.18201,40.79221,40.719905,44.377985
Belgium,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.596594,63.530067,64.934534,63.749018,61.749869,59.520324,61.381489,61.634355,65.154347,69.199449,76.796468,89.685638,99.633508,110.28688,114.61184,119.38722,124.66971,129.22713,129.68559,126.40723,130.30699,131.79659,134.68337,138.92523,137.08275,131.28605,129.00396,124.2712,119.1859,115.36185,109.58904,108.21685,105.43668,101.65931,97.169665,95.14187,91.494413,87.324624,93.159779,99.853049,100.24502,102.73534,104.33474,105.02132,106.52412,105.52513,105.40368,102.3996,99.977366,97.461028,111.09844,108.37017,102.55508,103.12131,104.46778
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.397341,56.038876,34.599347,35.127792,31.118246,27.563432,25.486874,24.861039,20.576926,18.168645,30.321124,36.368137,42.20547,40.940843,43.557458,43.754609,47.140103,46.375576,44.87429,38.615913,34.89422,33.168017,37.098361,35.61778,31.01327,31.587913,32.752304
Brazil,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,67.330659,76.095054,71.51364,68.025064,66.968516,64.598819,63.024659,61.420078,64.701584,62.433202,60.63371,61.614255,59.594682,61.617149,71.729677,77.422191,82.744953,84.777046,87.118481,96.006839,88.934272,83.938835,84.000518,87.283842
Bulgaria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,96.226652,67.454552,75.344999,70.717102,64.505119,51.00545,43.378565,35.728001,26.581739,20.872088,16.315904,13.017411,13.663296,15.296391,15.151927,16.579418,16.995402,27.00609,25.921783,29.102531,25.108936,22.139583,20.080731,24.440489,23.838633,22.484552,22.886156,24.078302
Cambodia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.373641,30.131024,31.409595,37.158452,34.647175,34.851729,33.509059,37.830333,39.782035,38.74421,31.669666,26.728954,25.067753,22.954373,23.681737,23.401836,23.794783,24.861497,24.397328,24.174133,23.263543,21.789669,22.640923,21.088535,20.835364,25.22668,25.941931,25.04324,25.731654,26.622141
Canada,87.749903,76.520917,70.054312,67.192534,68.277314,66.456116,58.404764,57.632371,63.096356,64.175397,64.874549,67.360435,66.641207,65.377952,62.025052,58.308955,57.071468,57.024001,56.320384,54.425403,56.74467,57.892179,56.689727,52.330526,49.502748,49.877217,42.836137,44.299541,47.117918,44.161177,44.589724,46.07713,51.706678,57.211249,60.212917,65.166256,69.32348,69.76068,69.7445,70.986777,73.744251,81.658172,88.229988,94.730248,97.480466,100.08417,100.24388,95.272492,93.290188,88.965669,80.436608,81.462033,79.604069,75.911797,71.8894,70.64041,69.919832,67.181353,70.35535,81.804123,83.976212,84.286296,87.150948,87.60508,85.540514,92.028852,92.396824,90.942246,90.776119,90.210165,118.06558,112.61731,104.20738,107.71072,110.76918
Chile,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.136493,36.961679,30.290659,27.969412,22.568587,17.214625,14.584476,12.779823,12.115297,13.277007,13.14564,14.348084,15.04533,12.573018,10.314065,7.0396205,5.0223977,3.9012603,4.9159891,5.8449264,8.6073275,11.12689,11.939073,12.784064,15.019748,17.37466,21.100505,23.651639,25.798028,28.329642,32.380101,36.447857,37.907331,39.41519,41.980756
"China, People's Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.423797,21.220679,20.394346,20.438078,21.609056,22.707831,24.252332,25.553138,26.41798,25.999898,25.910046,25.173645,28.707723,26.715032,33.984778,33.343159,33.184085,33.825236,36.437679,39.307847,40.781626,49.71999,53.903251,55.577191,59.441472,69.035362,70.146806,75.453183,82.013641,88.327128
