"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.2154712,2.786505,3.6848128,3.8523334,3.6966181,2.56854,2.2167353,2.0625465,2.4478275,2.656656,2.7873398,2.4174255,2.2503161,no data,2.6660526,3.8004244,4.8027677,7.8228655,12.418172,11.832118,14.095232,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.7642507,7.4794015,8.8478232,10.131561,11.387,4.7967465,4.0473708,4.123996,3.6372464,3.7024633,3.3737603,3.3372433,3.1351598,2.8210179,2.5691634,no data,no data,no data,no data
Albania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.4066498,11.813955,17.500191,23.869206,31.659592,38.833448,40.623758,41.419925,46.427509,47.072821,46.387922,46.488891,44.01614,42.671937,40.286718,36.224054,36.843691,40.965239,38.967019,35.330672,32.752218,33.970564
Algeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.9915428,8.8268997,7.4018026,8.7322071,9.1242272,8.5597586,10.309576,14.22563,12.524855,13.019162,12.720562,12.449044,12.950234,12.339551,14.927685,13.919839,12.610022,12.275409,14.869143,16.047007,18.824219,19.835772,21.425453,21.93419,22.34756,25.154343,21.830859,17.559431,18.200364,18.534127
Argentina,66.646476,63.241907,67.335064,67.413434,72.982788,73.801149,69.848257,66.216713,61.550419,39.053312,40.506226,42.502774,35.985697,34.335158,33.461557,28.116469,29.107117,29.889015,36.801163,41.435115,44.033772,41.49643,39.51629,39.050295,44.985649,38.220024,34.885029,46.641829,51.969894,60.606658,62.53747,65.666427,67.101875,47.735021,38.339677,30.98035,30.899639,37.315296,32.267213,70.986553,18.250452,17.131562,19.173241,22.517657,24.205216,24.754375,25.628332,28.670316,30.999169,31.088471,28.497361,38.202478,61.063577,41.693209,35.117452,29.250513,26.901632,25.123267,23.170394,22.723903,21.068024,21.057391,22.025524,22.757396,19.649266,21.444874,20.753005,24.894869,28.980005,28.283758,29.933266,22.902163,22.067939,34.885739,23.31133
Australia,no data,no data,no data,52.790627,56.934057,61.557286,57.475243,56.428965,56.970715,51.740859,54.419171,56.044497,54.230066,54.314315,54.828174,58.440991,60.478163,62.425254,64.49651,63.539095,62.545803,61.916194,62.835379,67.33886,72.537882,71.835579,71.134182,69.95335,73.026462,74.604218,77.312373,80.022329,83.943254,87.531134,88.299091,95.187282,106.7488,112.51798,117.96723,119.44379,120.97957,120.25435,117.73719,112.20759,112.91485,114.13477,115.89571,121.26252,126.53762,131.83209,138.90255,139.23961,145.07657,152.66663,158.72624,169.11192,178.5357,187.42186,188.03829,186.36336,177.93102,173.35453,175.47707,181.40027,186.80925,197.14672,198.89965,194.14656,193.82361,189.55361,191.75975,181.42202,170.76257,168.95533,172.99436
Austria,19.479539,19.465895,17.439893,19.898267,23.292787,24.846695,25.347849,26.410275,28.412718,30.649069,32.783196,34.366523,35.480779,36.715675,39.094317,42.511251,45.277258,46.420868,47.94296,51.165407,53.226261,56.612508,59.965225,58.720839,59.052521,62.949228,69.356693,72.016026,78.471191,83.736777,87.977617,91.982357,91.01068,88.990193,91.767268,93.159167,94.933834,97.697282,100.04204,103.60155,107.372,109.10727,110.98969,111.84515,111.42509,112.87858,114.46338,118.91125,119.77287,125.71935,133.01316,134.74292,134.46702,137.00249,134.86393,139.29663,136.78678,140.88606,143.11305,145.62198,147.99052,145.81018,144.03135,148.47021,144.65847,144.01484,143.7032,142.79752,142.82755,142.44259,152.93942,153.04822,141.21346,133.82726,133.01078
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.263049,11.77443,2.16217,1.454967,2.0182265,2.2006921,3.1276215,3.6618086,7.052269,6.3243918,7.0630514,7.8991547,12.992894,14.212351,14.835285,16.30577,18.859561,22.129007,20.414605,19.139456,21.181248,28.497837,34.056525,45.760904,43.689744,34.544944,33.131604,34.461071,40.16883,33.2481,24.790598,28.548337,29.982354
"Bahamas, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,181.79701,213.60664,271.22181,223.87578,188.48375,227.72551,181.77016,187.96635,231.69784,202.57338,249.84248,242.16869,308.3024,272.47202,300.57924,298.19633,325.36192,295.67547,353.74157,328.78761,356.34644,323.23706,287.9995,288.32242,390.13713,350.64071,272.27566,233.13003,238.80395,no data
Bahrain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.320732,9.3550364,10.578277,14.988765,19.092674,19.349076,27.36312,33.153611,36.579494,42.883412,53.89672,58.961603,50.577326,44.98048,46.197154,46.998101,46.790627,49.725843,54.082697,54.966507,54.454653,65.832818,53.464842,42.706011,40.170493,37.21416,45.747704,48.386614,53.225591,55.559599,54.367081,52.719669,55.998992,59.609142,58.718262,53.889234,61.711952,54.509514,51.59271,54.807294,53.895339,59.632952,69.981356,75.24377,84.635518,82.963354,80.052466,79.066322,81.495738,74.752065,85.555052,81.057075,81.08653,85.856258,87.944123,103.69841,98.016543,87.461804,89.342115,86.158544
