"Data Source","WDI Database Archives",

"Last Updated Date","2025-10-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","CO2 emissions (kt)","EN.ATM.CO2E.KT","144204.775","150497.347","165275.357","158315.391","153929.659","138102.887","129140.739","159078.127","147923.113","193591.931","216521.682","188443.463","182722.943","202697.092","183724.034","133049.761","284214.502","148447.494","126423.492","132620.722","136482.073","129998.817","145348.879","74700.457","186536.623","218333.18","17722.7079641114","44218.7149648438","60551.8699941407","64181.4600820313","154992.611017578","161342.116978516","143510.00896875","150542.346960938","151125.097876953","154003.305287109","155620.313992187","156483.782820312","149765.840061523","149477.393058594","203095.738951172","199143.665082031","201196.762998047","202277.963","199924.786","198677.608","193939.957","196587.356","178645.239","164314.603","152528.865","126423.492","56248.113","36325.302","28800.618","8085.735","7953.723","","","","","","","","","",
"Andorra","AND","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","407.037","425.372","458.375","484.044","513.38","524.381","524.381","531.715","535.382","564.718","575.719","546.383","539.049","539.049","517.047","517.047","491.378","491.378","491.378","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","CO2 emissions (kt)","EN.ATM.CO2E.KT","592729.506529848","618794.516648976","640469.489074495","664051.662648916","721726.761991523","779018.90048121","789661.286561014","825330.202450393","870024.463425118","914699.921597582","956216.508990175","1067754.73200325","1089189.92658094","1116451.16617741","1131491.85009271","1159937.54354751","1203329.91664314","1230647.55880429","1253152.18211255","1343095.47192601","1404649.47084935","1544509.0304067","1647706.92292051","1720109.01511776","1829548.79145642","1872583.94830906","1925508.354836","1940530.2378964","2023028.38917179","2008739.73945226","5506996.17433726","5416341.66402147","5351799.52214503","5493027.94351322","5640958.40200151","5929894.43595841","6146354.006744","6438971.80706991","6602832.44528863","6342877.52468529","6435660.40284161","7111610.40438209","7318236.95764429","7733663.27102221","8300348.5108852","8320867.43582676","8452795.05773545","8842048.17615177","9443538.38261055","9125631.82185226","9628185.34767688","9489534.97228762","9888059.22060608","10278093.1427993","10681220.6626156","10412196.6100922","10495799.0805792","10671398.1898394","10741744.8677892","7900962.0706162","4359620.024","","","","","",
"Afghanistan","AFG","CO2 emissions (kt)","EN.ATM.CO2E.KT","41164.2639863281","48766.5744020019","68368.340687793","70233.6999091797","83311.1039858399","100078.88136709","108409.315099805","127258.81679375","121414.176990235","93531.0104442382","167210.56726543","189644.762223828","153373.372590234","163670.223492383","193369.205980468","214464.090001953","200066.581842383","240535.059028906","218082.137854688","225344.746190625","177431.103191797","199264.584928906","211180.795476953","253816.650536719","284948.198850391","353454.217428906","316248.551971094","315323.7662875","291897.039439063","282722.24044414","302880.635775","281859.223920312","162644.018391992","155893.892819727","149996.41963418","144326.034107617","135685.512516016","124398.011882813","117257.132628906","93390.1970380859","87056.9229912109","78138.8559716798","87991.4828894653","104490.763114441","92654.2698855591","125036.800809265","149834.967961853","196527.251923706","353272.677771118","548938.369457764","678539.500534058","838364.475220703","723780.466694824","669442.101084473","457135.687457764","239466.801237061","223255.065762939","148365.120839233","162765.820686646","120305.869694824","69675.76","","","","","",
"Africa Western and Central","AFW","CO2 emissions (kt)","EN.ATM.CO2E.KT","43802.315","46882.595","48551.08","57700.245","69929.69","99137.345","106232.99","106196.32","82635.845","118719.125","181993.21","241508.62","290298.055","348383.335","421961.69","349978.48","384503.285","370770.37","375225.775","491598.02","494568.29","484447.37","493779.885","456688.18","505770.975","521722.425","499885.44","448474.1","519100.52","412812.525","1717234.36955082","1940184.35843238","2143458.84666348","2074687.42902647","1945700.39712536","2084802.08332253","2359708.15657301","2353208.78330236","2271091.75413205","2309425.52594655","2431470.62","2580928.74","2486741.36211788","2627322.87309775","2658144.53064777","2770984.99587907","2664584.68283486","2598511.47771317","2722441.29888182","2597233.74022007","2932806.38685903","3078242.75426437","3161214.22300314","3418336.41024272","3571329.1345388","3512232.18999927","3616942.18519037","3637609.36182629","3865438.16719381","2887615.45009775","1727324.88","","","","","",
"Angola","AGO","CO2 emissions (kt)","EN.ATM.CO2E.KT","54540.1294991211","45073.9256033691","116974.415935547","114119.908733008","121335.782497461","117772.878382031","154023.013607031","98498.0654249022","165736.516602149","276020.925879297","357662.296257422","340266.124916406","449349.620285938","487315.591928906","491259.758520313","445035.439657813","331591.031338672","356488.314246094","546254.858171876","555442.550382813","539369.896583593","532772.12921875","469227.561401562","516041.473328126","505281.189661718","474451.883289844","470252.260974219","583149.883079688","517642.052093749","505538.010469531","581954.836376563","576995.639565624","584924.509495313","709129.197272656","565827.946825781","1258820.12979531","1230479.93098906","942044.660261718","930323.132519532","1099074.0721875","1098253.93933594","1099247.70435937","1329833.74725122","1081648.29091553","1806621.95405176","1791611.69767847","2022032.96186377","2246278.32825342","2242285.83674658","2255496.66147412","2290283.28094824","2030945.64635693","1901548.25135693","1925626.67933789","1830789.32964307","933651.491474121","909671.883915527","506805.6","472936.296337891","321116.096337891","158516","","","","","",
"Albania","ALB","CO2 emissions (kt)","EN.ATM.CO2E.KT","191336.086575293","217894.971276563","236549.844748828","197776.540936328","191747.450129102","207616.900697851","245792.841710547","260976.753552344","298472.794367578","319030.854490625","370601.765843359","429412.167577734","545984.126241406","515795.985144141","437119.129835938","463815.659097656","497103.749301563","573328.249277344","650427.527377343","761793.75110625","518770.93733203","737071.250819531","732205.746247657","764802.797615625","782637.87876172","789723.624480468","808638.283302343","747764.756275782","734478.526372656","897560.134218751","747868.456652343","475993.541426172","279152.463641797","262209.025508984","224061.184384375","232475.638260937","224259.560411328","169076.392100586","191378.111631836","315438.990757812","320880.218222656","330421.876785157","383293.330196228","429218.559686645","424917.36","416506.581839233","381451.946915527","387263.539465943","387620.077694824","357946.953160766","367995.683237061","357685.124618531","290188.196534057","298395.007228882","283534.363686646","133446.876542236","129387.411076294","102534.399465942","101435.800534058","64095.5996948242","35065.6","","","","","",
"Andorra","AND","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21192.557","21192.557","21192.557","21346.544","21192.557","38849.677","41033.248","43048.224","45378.478","47705.08","48718.046","48718.046","49426.689885559","49731.0118855591","52311.6010095367","53578.5539332428","50843.9780476838","50135.3340858306","47980.9020858307","42940.6239237061","41389.4829237061","33887.684038147","29311.295038147","28749.3339570846","24002.3620333786","13079.3329952316","13145.3119952316","8887.95199523162","9171.76003814697","6341.72","3591.075192","","","","","",
"Netherlands Antilles","ANT","CO2 emissions (kt)","EN.ATM.CO2E.KT","11083.6","11567.2","12703.1","12168.1","11831.1","10614.6","9925.8","12226.8","11369.4","14879.5","16575.9","14410.5","13974.5","15506","14051.4","10163.9","21844.8","11409.7","9716.9","10193.2","10490","9988.1","11167.9","5741.5","5763.5","5587.6","104743.350039062","87417.5194492187","75026.7021875","39458.8750663376","39510.9359472656","87828.008703125","94697.851109375","137256.741","132878.570632813","130823.19725","124789.10225","129739.540242188","75602.0208164062","67175.0354375","82094.762640625","52940.2596640625","51873.95115625","47032.902","39388.319","26710.56","19719.648","12464.928","","","","","","","","","","","","","","","","","","",
"Arab League states","ARB","CO2 emissions (kt)","EN.ATM.CO2E.KT","4639527.0554677","5099902.59245319","5804465.06652065","6893460.74485501","8090172.18562254","9715354.98134262","10928979.6696297","11778776.2878375","13913360.1148517","16759342.7069241","17391051.1154983","19801111.2185158","21546717.9849475","25139231.206961","24542043.9425085","24299263.7867453","29488051.7881743","31204517.0678329","33624616.6530085","36014946.1974226","40175162.9744044","39267794.4126916","37619391.5135417","40125714.6234385","43772526.1772275","46292040.0893249","51148113.3344641","51243320.874736","54301299.3220784","55171748.2702849","63197306.9471988","66732723.4983232","71910681.8653099","78785434.0450898","81427216.0062725","79086787.5653275","79352736.6328091","77965572.7926194","83125003.3609308","84432198.1667617","95548032.0526879","94512878.8991412","96696317.0851427","103516010.357255","112335340.884847","118880088.820019","124394012.878721","125085007.95543","129373727.17385","126553327.917428","129506621.34551","111475438.028267","106031265.897819","103915703.330308","94791728.2755694","50281370.3039667","50173032.8977481","33354691.3436729","33102629.6971888","24186929.6678329","14120423.2","","","","","",
