"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.96645005005916","5.34999088608773","5.57113323868245","5.62647995313182","5.57490843111189","5.39657264404886","5.23093516228704","5.08456670739218","4.88221866976456","4.62901418997541","4.37838529848473","4.11230404945066","3.87602220822667","3.65128011129856","3.46054127612812","3.23582216830667","3.04534307994155","2.82241265337502","2.65207203899166","2.47330074932831","2.33830933241181","2.1726197313524","2.02524245152557","1.91145566219405","1.75859449844202","1.6360026918016","1.5330827254799","1.37202061304555","1.23554360621216","1.13329499963315","1.0127279883964","0.947154347587848","0.848053751073608","0.789838637177859","0.73071493006269",
"Afghanistan","AFG","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",
"Africa Western and Central","AFW","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.79487468527829","1.96533958461798","2.10879110888738","2.20972183183386","2.21598368210642","2.23536021694278","2.18687669141043","2.10264097461437","2.04408751951452","1.92652803929966","1.78560661038797","1.65585358254717","1.54563320490747","1.41817447613774","1.35799218205314","1.25312155096398","1.1539160588669","1.11419695374157","0.995375354114814","0.938945361228966","0.865427936425363","0.805134446611394","0.728602716805064","0.65850816348503","0.608553570681054","0.581473439740681","0.536231794705204","0.496239616691341","0.469172313801758","0.434013076311953","0.398170070778511","0.361348238732992","0.321906875990552","0.296964497460471","0.261568565524967",
"Angola","AGO","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.73","0.81","0.92","0.98","1","1.1","1.1","1.2","1.2","1.2","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.2","1.2","1.2","1.1","1.1","0.99","0.94","0.92","0.91","0.86","0.79","0.76","0.7","0.63","0.59","0.55",
"Albania","ALB","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",
"Andorra","AND","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.074127412732689","0.0764437235436634","0.0817706610320101","0.0821142584515071","0.082768479664896","0.0826869926770458","0.0891659158836901","0.0984295369274245","0.0976877991624562","0.0976451717384672","0.0963295262236131","0.0950690466049704","0.0943646609100652","0.0928373578888216","0.0858860928715514","0.0845967771470307","0.0819957146367055","0.0805990211976965","0.0798196881757638","0.078849843360588","0.0784677595664574","0.0777461298062272","0.077242501937556","0.076850729257128","0.0772172582504936","0.0770827426212403","0.0835833508304256","0.0835950793342035","0.0837521288211928","0.0836042789311859","0.083655687002669","0.0834567566498015","0.096175073733076","0.0969034721648848","0.0979642681984202",
"United Arab Emirates","ARE","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.1","0.1","0.1","0.1","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.1","0.1","0.1",
"Argentina","ARG","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.15","0.16","0.16","0.16","0.16","0.16","0.16","0.16","0.16","0.16","0.15","0.15","0.15","0.15","0.15","0.14","0.14","0.14","0.14","0.13","0.13","0.13","0.13","0.13","0.12","0.12","0.12","0.12","0.12","0.12","0.11","0.11","0.11","0.11","0.11",
"Armenia","ARM","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.11","0.12","0.13","0.14","0.15","0.16","0.17","0.17","0.18","0.18","0.18","0.19","0.19","0.19","0.2","0.21",
"American Samoa","ASM","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24","0.25","0.26","0.28","0.29","0.3","0.32","0.33","0.34","0.35","0.36","0.37","0.38","0.39","0.4","0.41","0.41","0.42","0.43","0.43","0.44","0.44","0.44","0.44","0.45","0.45","0.45","0.45","0.45","0.45","0.44","0.44","0.44","0.43","0.43",
"Australia","AUS","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","","",
"Austria","AUT","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.11","0.11","0.11","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",
"Burundi","BDI","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","4.5","4","2.5","4.1","1.5","2.2","2.1","1.8","1.4","1.3","1.2","1","0.92","0.81","0.7","0.68","0.62","0.59","0.46","0.48","0.39","0.35","0.3","0.28","0.25","0.2","0.17","0.13","0.12","0.11","0.12","0.11","0.1","0.1",
"Belgium","BEL","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",
"Benin","BEN","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.49","0.69","0.9","1.1","1.4","1.5","1.4","1.3","1.2","1","0.95","0.87","0.79","0.74","0.72","0.69","0.63","0.61","0.51","0.47","0.42","0.37","0.36","0.34","0.3","0.23","0.21","0.2","0.17","0.16","0.14","0.13","0.12","0.1","0.1",
"Burkina Faso","BFA","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.4","2.1","1.9","1.6","1.5","1.3","1.2","1.1","0.99","0.89","0.8","0.73","0.64","0.57","0.51","0.44","0.38","0.36","0.31","0.29","0.25","0.23","0.21","0.17","0.19","0.17","0.16","0.17","0.14","0.13","0.14","0.13","0.14","0.13",
"Bangladesh","BGD","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01",
"Bulgaria","BGR","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",
"Bahrain","BHR","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.01","0.01","0.01","0.01","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",
"Bahamas, The","BHS","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1.9","1.8","1.7","1.6","1.5","1.3","1.3","1.2","1.1","1","0.92","0.84","0.77","0.72","0.68","0.61","0.58","0.53","0.5","0.47","0.44","0.37","0.34","0.31","0.3","0.26","0.24","0.22","0.2","0.19","0.18","0.16","0.15","0.13",
"Bosnia and Herzegovina","BIH","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.23","0.31","0.4","0.51","0.62","0.72","0.82","0.9","0.97","1","1.1","1","1","0.98","0.94","0.88","0.8","0.75","0.71","0.65","0.62","0.58","0.55","0.55","0.52","0.5","0.5","0.48","0.47","0.47","0.45","0.45","0.46","0.46","0.47",
"Bermuda","BMU","Incidence of HIV, all (per 1,000 uninfected population)","SH.HIV.INCD.TL.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
