"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.82167475054656","7.71288746675003","7.81331595496444","7.86975403114569","7.79600364915428","7.62383067509407","7.63636547237262","7.58409766738907","7.61752688628475","7.49814747749515","7.76564222277707","7.57751391523583","7.53297545513133","7.5535958110134","7.62330069870502","7.75364481475672","7.71840772035264","7.67018727917037","7.97462444104968","8.04649044265598","7.95371427412437","8.35393194082256","","","",
"Afghanistan","AFG","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.36","4.38","4.26","4.24","4.23","4.16","4.02","3.95","3.86","3.66","3.59","3.68","3.64","3.61","3.54","3.46","3.47","3.56","3.56","3.53","3.49","3.6","","","",
"Africa Western and Central","AFW","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.66338517471201","5.71883955414824","5.63394710192873","5.62246554862444","5.63989227664562","5.56767827945197","5.63537042734813","5.64592235900122","5.68863953839764","5.83682516767527","5.87165664157973","5.86941992012314","5.85009485127387","5.80244304283587","5.76744515737429","5.63205109250737","5.5982743929085","5.55778319742794","5.56316684702912","5.54336675201119","5.49040718415463","5.76431172452505","","","",
"Angola","AGO","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.12","8.48","8.23","8.88","8.92","8.32","8.59","8","7.5","7.24","6.89","6.95","6.79","6.88","6.36","6.56","6.49","6.47","7.15","7.52","7.41","8.11","","","",
"Albania","ALB","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.78","4.19","4.28","4.47","4.44","6.8","6.88","7.03","7.09","7.02","6.77","6.91","4.49","4.5","4.25","4.13","4.03","3.91","3.83","3.78","3.36","2.75","","","",
"Andorra","AND","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14990107831671","3.12398382177286","3.09553839526609","3.0216669012393","2.94743535018856","2.90970419304403","2.79552841648219","2.74030559745841","2.73291557366822","2.74435230719191","2.66743066472304","2.63324955808811","2.56778008244213","2.57644366175901","2.55420960002179","2.52600688878647","2.50268907822868","2.50609603107273","2.51417148057952","2.46764560177373","2.22691096657714","2.25413336060138","","","",
"United Arab Emirates","ARE","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.45","2.41","2.27","2.17","2.17","2.21","2.2","1.97","2.13","2.35","2.54","2.62","2.67","2.6","2.46","2.47","2.38","2.48","2.51","2.46","2.38","1.71","","","",
"Argentina","ARG","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.17","10.33","10.31","9.74","8.75","8.64","8.61","8.31","8.67","8.44","8.54","8.63","9.28","8.81","9.53","8.77","8.41","9.03","9.33","9.28","8.12","7.94","","","",
"Armenia","ARM","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.55","3.21","3.61","2.81","3.92","4.25","6.04","5.98","4.83","4.74","6.88","6.72","7.56","6.47","6.36","6.11","6","3.21","2.32","2.7","2.18","2.46","","","",
