"Data Source","WDI Database Archives",

"Last Updated Date","2025-10-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","0","66","15","","","","","","","","","",
"Andorra","AND","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113029656","95981808","101828424","109395288","116833368","101377968","63937056","53549784","51332352","55324344","58678584","57133368","55893672","48207936","45550680","43419912","42883920","40338624","35254920","31869648","33228768","42379800","45617022","49304040","63303360","79998552","95771472","123729600","122745576","122106120","124406352","97860960","70359458","38876313","","",
"Afghanistan","AFG","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5100","3876","6122550","3277433","2027975","2195750","2103034","550","","0","0","780","225","2434","3211","3297","3539","4315","3774","3632","617664","264854","1359615","1281526","22029680","16483425","3406905","3492642","2961378","2383493","1734672","1205082","678067","243782","","",
"Africa Western and Central","AFW","Refugee population by country or territory of asylum","SM.POP.REFG","","30000","30000","66000","229800","453360","626400","569220","721260","787200","616260","650940","623820","546000","630000","2676780","3771420","772020","575040","341700","1560000","1624740","334920","146460","422040","613020","519660","503580","436992","792774","22369248","24233616","23793984","38337864","38929824","36464280","35227392","25160256","23986392","24268488","23239800","16549680","17504592","19875576","19986576","18056280","15019512","14739366","15722016","18276240","19461216","22406832","22439424","22829508","26596068","27312240","28820502","28140558","30858558","31565502","35380566","29359026","22151406","16073113","","",
"Angola","AGO","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","310000","7285000","4388050","2046000","2325000","2842700","2984680","2984680","2860060","2837120","2859750","2827510","2800850","399869","1178814","1124244","1122204","1109401","1132670","1218878","1050684","1048811","1187688","1463973","1353696","1372045","1372169","1498635","1536603","1510150","1387456","1242983","1296234","1458294","1454477","1427283","1966320","1807136","1144890","995272","886189","1891324","1634186","851187","619074","468810","331682","176218","","",
"Albania","ALB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","306000","306000","318000","528591","551572","3364","2501114","440102","58416","32701","1873","2754","5744","6131","6112","7675","6382","6899","7265","7123","7162","7161","7913","6811","7662","5179","5402","3976","2580","1962","34788","35553","","",
"Andorra","AND","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Netherlands Antilles","ANT","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab League states","ARB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","420683017","355954291","373154832","391726965","407616883","427301600","409508855","415828646","428592018","439788883","459353365","484376670","500852312","483427726","493845087","500477931","631583115","736317422","706220232","681595287","669726103","579213539","557666236","580584378","608116544","514105891","481084643","416742361","382585410","308536983","222783084","168726528","122372042","64366043","","",
