"Data Source","WDI Database Archives",

"Last Updated Date","2025-10-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","3","1","2","3","2","1","10","10","3","9","10","9","6","6","6","6","7","5","7","5","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112572816","99625872","105270960","110039904","119174712","99317496","70085856","60095544","58701048","64210752","70651416","68868216","69055728","63207504","62478288","60915912","61445532","55423206","51891960","52366686","55266234","66514398","69436026","71466318","85427280","100681632","118011360","145394184","142996800","142476864","143039814","110632596","79598638","48577158","","",
"Afghanistan","AFG","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","15500000","53782551","120279504","139134634","146094785","136947181","144248983","157922773","170863940","174312442","174963659","646587690","643242702","464319606","344206721","289503825","300062727","299514234","299787615","298716923","290620091","401781217","426693918","281152737","239236515.567156","264929904.892857","233943586","223396659.3","314893787","288978682.8","285824898","293251754","234469965","217236148","194294589","192106227","181172958","142582042","120715590","109931967","90021031","62275530","48831587","73602069","44822008","","",
"Africa Western and Central","AFW","Refugee population by country or territory of origin","SM.POP.REFG.OR","","30000","30000","66000","210000","330000","368100","364500","651600","426300","413760","490200","501000","513000","546000","2616660","3762600","768000","571200","331200","1584036","1537596","332256","142254","1132104","1324824","1071498","936564","845346","1196280","25353984","24437976","24954840","41785824","42304584","35675424","34426320","24897144","23233848","22624368","19805448","14280720","15547560","16286976","14840688","13390320","11504160","10524306","11174760","11613336","12176382","14403252","15405048","17390982","22074030","24921048","26177430","27742032","30802560","32503920","34994514","30166478","22780772","12552561","","",
"Angola","AGO","Refugee population by country or territory of origin","SM.POP.REFG.OR","4650000","4650000","5270000","5425000","6200000","6820000","9417800","11042200","11822160","12653890","12837720","13010390","13066500","13223050","15419090","15556730","15474890","16424730","20029410","20242380","13919930","14168860","14442590","9241410","11092451","9839152","11017772","12143723","12634546","12669452","41591520","38926934","30650246","33030483","29952957","27625638","27964971","29981697","35775730","39524283","48581156","52709631","48766880","36913048.1998444","25172612","23308712","21888513","19173453.2","17481497","13960614","12946151","11322215","1617517","781573","701458","797382","478081","381057","338063","269850","197112","205254","154653","80542","","",
"Albania","ALB","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","3100","150660","150660","132060","127720","132990","133610","12090","71300","64790","11780","11780","","62000","61380","49910","52111","52080","50995","49910","48856","49197","2790","3999","11098","11377","185844","361142","444068","483981","532080","649949","647959","602596","599718","659097","761781","854027","1205293","1163094.75196821","1152130.00083705","1373764","1492505.4","1579824.4","1530643","1555265","1418081","1192519","1055743","767498","751522","707931","630385","559653","554052","495905","372630","357246","271137","153433","","",
"Andorra","AND","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140","140","210","70","140","164","140","70","1019","957","210","940","1009.1","940","575","557","539","491","550","375","449","343","30","","30","6","90","","65","","","",
"Netherlands Antilles","ANT","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab League states","ARB","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","219037023","236050640","256258854","186845741","196173592","196494465","199484063","182702944","176999029","175732385","165597347","183550684","185794547","179445798","184268598","176179932","296320737","364831565","326162985","296866292","291293975","278865768","282159291","360330055","452422984","471249718","439082938","394125282","366260468","291435594","212989602","162958334","113487298","64618890","","",
