"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.2321876597267","30.4621184420636","30.7690812034709","30.9812947803023","30.4929462244757","30.0486566721352","29.9609382280774","28.831724864445","28.4388239085732","28.6013036193898","28.4534600660578","28.2691458025243","28.3541333385951","27.913625345315","28.2814396900927","28.5400336032912","28.9726844694772","28.9444487730228","28.9692820117498","29.4060097293648","","","","","",
"Afghanistan","AFG","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7","15.1","14.9","15","15.2","15.2","15.1","15","15","14.4","14.4","14.2","13.8","14","14.1","14.4","14.8","15.1","14.2","15.9","","","","","",
"Africa Western and Central","AFW","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.1895293167566","28.3181663836718","28.4233511662242","27.9242405383288","27.498856129058","27.2050893933991","26.7939902606361","26.4764573798853","26.1247601472525","26.2289367919709","26.2003595049455","24.9589662495473","24.4047812856325","24.379640056598","24.3914645388636","24.2987721513739","24.4269092841292","24.4084147982367","24.4624388521953","24.531639545772","","","","","",
"Angola","AGO","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.1","25.2","25.4","25.3","25.9","26.1","24.6","25.5","25","27.3","25.8","25.4","23.2","22.4","23.2","23.6","24.7","25.5","26","26.1","","","","","",
"Albania","ALB","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.3","14.5","14.5","14.7","14.7","14.9","14.9","14.8","14.5","14.4","14.1","14.3","13.8","13.9","13.6","13.8","13.8","11.4","11","11.7","","","","","",
"Andorra","AND","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6","","","","","","","","","","","",
"Arab World","ARB","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6113587067034","19.4063519799137","19.7125944884924","20.1971711126657","19.990330655836","20.0058503986065","20.0003633590386","20.5273635375612","20.7592882634206","20.5529408359355","20.6166489551727","20.0913248464003","19.238879692456","19.0973612437855","20.0202374987821","20.1280915074652","19.8977029324913","19.7128201678417","20.0360303082844","20.0536440645893","","","","","",
"United Arab Emirates","ARE","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","15.8","22.4","24.2","20.9","18.7","17.2","17.7","18","19","19.4","19.1","17.9","17.6","17.8","18.1","17.9","13.3","11.3","8.9","","","","","",
"Argentina","ARG","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5","11.6","9.8","9.4","10.6","11.6","13.1","14.1","14.8","13.3","12.8","13.9","13.1","14.3","13.4","13.9","14.1","14","13.6","14.1","","","","","",
"Armenia","ARM","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6","19.5","19.1","18.5","18.5","18.3","17.8","17.6","17.3","17.9","18","17.7","17","16.8","16.7","16.7","15.7","16.4","20.4","20","","","","","",
"American Samoa","ASM","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.2","13","2.6","10.1","2.5","0","2.4","7.2","11.2","6.3","5.4","8.8","0.7","1.7","0.6","0","0","0","0","0","","","","","",
"Australia","AUS","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.9","9.3","9.1","8.5","8.2","8.3","8","7.9","7.1","7.1","6.5","5.9","5.8","5.3","5.4","5.2","5.6","5.2","4.8","4.9","","","","","",
"Austria","AUT","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5","12.2","12.1","11.7","11","9.6","9.1","8.6","8.4","7.8","6.8","6.4","6.4","5.5","5.1","5.7","5.2","4.9","4.8","4.9","","","","","",
"Azerbaijan","AZE","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2","10","10.1","14.5","10.7","13.9","13.2","13.7","13.3","11.6","11.4","12.4","14","13.8","13.2","10.3","8.7","8.5","8.1","6.7","","","","","",
"Burundi","BDI","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.3","30.2","29.3","29.8","29.7","29.9","33.1","33.4","33","33","33.2","33","33.8","33.8","33.6","34.4","34.8","34.9","35.2","35.5","","","","","",
"Belgium","BEL","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.7","15.8","13.9","12","11.4","10.9","10.5","10.8","9.4","9.4","8.1","8.2","7.2","7","6.7","6.7","5.8","5.5","5.4","5.8","","","","","",
"Benin","BEN","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.4","28.5","28.7","28.2","28","28.9","28.1","27.6","27.6","27.9","28.2","28.1","27.4","27","27","27.3","27.5","27","26.9","26.8","","","","","",
"Burkina Faso","BFA","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.6","27.7","28","28.4","29.1","29.2","29.4","29.6","29.7","29.4","30.2","30","29.6","29.8","30.2","30.4","30.5","30.7","30.8","31","","","","","",
"Bangladesh","BGD","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8","12","13.5","14.9","16.4","17.6","17.6","16.9","16.9","16.9","16.9","16.8","15.9","15.9","15.9","15.8","15.8","15.6","15.5","15.3","","","","","",
"Bulgaria","BGR","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","13.2","12.6","12.7","12.5","12.8","14.1","14.3","14.5","12.4","10.8","9.2","8.5","8.5","9.4","10.1","10.2","9.9","8.9","9.2","","","","","",
"Bahrain","BHR","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","17.3","18.9","16.1","15.7","15.6","21.8","15.8","13.5","13.5","10.8","9.7","9.5","9.7","7.3","7.5","6.9","6.2","5.7","5.2","","","","","",
"Bahamas, The","BHS","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6","20.9","17.7","13.1","16","20.9","14.8","15.7","14.5","16.3","12.7","13.1","13","14.1","8.1","8.3","8.2","8.7","8.2","7.7","","","","","",
"Bosnia and Herzegovina","BIH","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","18.9","18.5","18.4","18.1","17.8","17.6","17.5","17.1","17.1","16.9","14.9","15.6","15.4","15.5","15.8","16.3","15.6","14.2","13.5","","","","","",
"Belarus","BLR","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.8","17.7","26.1","26.7","23","22.1","22.1","23.5","23.9","19.5","21.9","18.6","15.8","13.6","11.5","10.1","8.9","8.9","8.3","7.6","","","","","",
